sz300546	N雄帝	　29.42	+8.99	+44.004%	29.42	0.00	20.43	24.52	29.42	24.52	37	10.52	收藏	股吧
sz300545	N联得	　19.44	+5.94	+44.000%	19.44	0.00	13.50	16.20	19.44	16.20	41	7.89	收藏	股吧
sh603738	N泰晶	　23.24	+7.10	+43.990%	23.24	0.00	16.14	19.37	23.24	19.37	56	12.98	收藏	股吧
sh601500	通用股份	　13.81	+1.26	+10.040%	13.81	0.00	12.55	13.81	13.81	13.81	7,145	986.72	收藏	股吧
sz002085	万丰奥威	　19.10	+1.74	+10.023%	19.09	19.10	17.36	17.38	19.10	17.13	279,794	50,999.35	收藏	股吧
sz300391	康跃科技	　24.15	+2.20	+10.023%	24.15	0.00	21.95	21.80	24.15	21.70	90,304	21,211.16	收藏	股吧
sh603189	网达软件	　22.41	+2.04	+10.015%	22.41	0.00	20.37	22.41	22.41	22.41	665	149.13	收藏	股吧
sh600908	无锡银行	　8.57	+0.78	+10.013%	8.57	0.00	7.79	8.57	8.57	8.57	1,311	112.37	收藏	股吧
sz300082	奥克股份	　8.24	+0.75	+10.013%	8.24	0.00	7.49	7.56	8.24	7.50	367,794	29,968.95	收藏	股吧
sz300541	先进数通	　37.58	+3.42	+10.012%	37.58	0.00	34.16	37.58	37.58	37.58	237	88.90	收藏	股吧
sz300511	雪榕生物	　57.97	+5.27	+10.000%	57.97	0.00	52.70	53.71	57.97	53.15	75,685	42,776.78	收藏	股吧
sz300534	陇神戎发	　46.31	+4.21	+10.000%	46.31	0.00	42.10	46.31	46.31	46.31	223	103.26	收藏	股吧
sz300543	朗科智能	　101.78	+9.25	+9.997%	101.78	0.00	92.53	101.78	101.78	101.78	4,082	4,154.70	收藏	股吧
sh603669	灵康药业	　32.03	+2.91	+9.993%	32.03	0.00	29.12	28.98	32.03	28.88	143,673	44,815.51	收藏	股吧
sh603067	振华股份	　20.81	+1.89	+9.989%	20.81	0.00	18.92	20.81	20.81	20.81	1,715	356.99	收藏	股吧
sz000912	泸天化	　8.37	+0.76	+9.987%	8.37	0.00	7.61	7.58	8.37	7.50	470,840	38,052.33	收藏	股吧
sz300536	农尚环境	　23.13	+2.10	+9.986%	23.13	0.00	21.03	23.13	23.13	23.13	54	12.43	收藏	股吧
sz300542	新晨科技	　20.93	+1.90	+9.984%	20.93	0.00	19.03	20.93	20.93	20.93	80	16.72	收藏	股吧
sz000755	山西三维	　9.70	+0.88	+9.977%	9.70	0.00	8.82	8.75	9.70	8.66	642,549	59,730.89	收藏	股吧
sz000409	山东地矿	　13.56	+1.23	+9.976%	13.56	0.00	12.33	13.56	13.56	13.56	3,986	540.56	收藏	股吧
sz002613	北玻股份	　8.72	+0.79	+9.962%	8.72	0.00	7.93	7.95	8.72	7.79	728,154	60,756.47	收藏	股吧
sh600868	梅雁吉祥	　5.31	+0.41	+8.367%	5.31	5.32	4.90	4.89	5.39	4.86	3,956,058	205,958.18	收藏	股吧
sz000563	陕国投Ａ	　6.42	+0.49	+8.263%	6.42	6.43	5.93	5.95	6.52	5.90	1,377,195	88,759.27	收藏	股吧
sz300136	信维通信	　25.76	+1.96	+8.235%	25.75	25.76	23.80	24.22	26.18	24.11	369,029	93,478.23	收藏	股吧
sz002759	天际股份	　30.18	+2.11	+7.517%	30.17	30.18	28.07	28.60	30.68	28.15	169,431	50,421.31	收藏	股吧
sz300018	中元股份	　12.23	+0.80	+6.999%	12.22	12.23	11.43	11.38	12.34	11.32	224,360	26,691.73	收藏	股吧
sz002606	大连电瓷	　28.10	+1.82	+6.925%	28.09	28.10	26.28	26.14	28.17	25.82	130,944	35,780.86	收藏	股吧
sz002636	金安国纪	　20.11	+1.24	+6.571%	20.10	20.11	18.87	18.45	20.60	18.45	488,102	95,652.11	收藏	股吧
sz002082	栋梁新材	　22.50	+1.35	+6.383%	22.50	22.51	21.15	20.81	23.15	20.62	208,821	45,940.29	收藏	股吧
