sh603031	N安德利	　16.86	+5.15	+43.980%	16.86	0.00	11.71	16.86	16.86	16.86	90	15.17	收藏	股吧
sz300372	*欣泰	　3.03	+0.28	+10.182%	3.03	0.00	2.75	2.90	3.03	2.76	193,040	5,720.80	收藏	股吧
sh600082	海泰发展	　6.99	+0.64	+10.079%	6.99	0.00	6.35	6.28	6.99	6.27	470,344	31,840.61	收藏	股吧
sh600776	东方通信	　10.96	+1.00	+10.040%	10.96	0.00	9.96	9.96	10.96	9.85	668,959	71,270.54	收藏	股吧
sz000981	银亿股份	　12.72	+1.16	+10.035%	12.72	0.00	11.56	11.53	12.72	11.53	554,529	70,309.59	收藏	股吧
sh601595	上海电影	　19.53	+1.78	+10.028%	19.53	0.00	17.75	19.53	19.53	19.53	83	16.21	收藏	股吧
sz000791	甘肃电投	　11.74	+1.07	+10.028%	11.72	11.74	10.67	10.91	11.74	10.88	236,843	27,370.09	收藏	股吧
sh603159	上海亚虹	　17.56	+1.60	+10.025%	17.56	0.00	15.96	17.56	17.56	17.56	57	10.01	收藏	股吧
sh600640	号百控股	　18.44	+1.68	+10.024%	18.44	0.00	16.76	18.44	18.44	18.44	3,660	674.92	收藏	股吧
sz300532	今天国际	　28.44	+2.59	+10.019%	28.44	0.00	25.85	28.44	28.44	28.44	22	6.21	收藏	股吧
sh603663	三祥新材	　31.75	+2.89	+10.014%	31.75	0.00	28.86	31.75	31.75	31.75	809	256.74	收藏	股吧
sh601997	贵阳银行	　17.91	+1.63	+10.012%	17.91	0.00	16.28	17.91	17.91	17.91	49,545	8,873.47	收藏	股吧
sz300531	优博讯	　45.38	+4.13	+10.012%	45.38	0.00	41.25	45.38	45.38	45.38	61	27.68	收藏	股吧
sz002808	苏州恒久	　19.67	+1.79	+10.011%	19.67	0.00	17.88	19.67	19.67	19.67	57	11.23	收藏	股吧
sz002029	七 匹 狼	　11.32	+1.03	+10.010%	11.32	0.00	10.29	10.29	11.32	10.25	561,460	61,976.83	收藏	股吧
sz300528	幸福蓝海	　24.73	+2.25	+10.009%	24.73	0.00	22.48	24.73	24.73	24.73	310	76.57	收藏	股吧
sz300526	中潜股份	　57.39	+5.22	+10.006%	57.39	0.00	52.17	57.39	57.39	57.39	286	164.00	收藏	股吧
sz300530	达志科技	　40.57	+3.69	+10.005%	40.57	0.00	36.88	40.57	40.57	40.57	30	12.17	收藏	股吧
sh601811	新华文轩	　26.61	+2.42	+10.004%	26.61	0.00	24.19	26.61	26.61	26.61	4,678	1,244.89	收藏	股吧
sh603322	超讯通信	　87.31	+7.94	+10.004%	87.31	0.00	79.37	87.31	87.31	83.58	99,315	85,843.45	收藏	股吧
sz002395	双象股份	　26.83	+2.44	+10.004%	26.83	0.00	24.39	25.45	26.83	25.21	81,837	21,698.01	收藏	股吧
sz002778	高科石化	　55.20	+5.02	+10.004%	55.20	0.00	50.18	50.24	55.20	50.02	54,967	29,641.15	收藏	股吧
sz300527	华舟应急	　27.27	+2.48	+10.004%	27.27	0.00	24.79	27.27	27.27	27.27	1,603	437.02	收藏	股吧
sh603569	长久物流	　47.63	+4.33	+10.000%	47.63	0.00	43.30	47.63	47.63	47.63	1,712	815.64	收藏	股吧
sz002060	粤 水 电	　9.13	+0.83	+10.000%	9.13	0.00	8.30	8.25	9.13	8.15	1,112,367	97,626.87	收藏	股吧
sz002211	宏达新材	　17.49	+1.59	+10.000%	17.49	0.00	15.90	15.60	17.49	15.46	649,558	108,584.67	收藏	股吧
sz300535	达威股份	　47.19	+4.29	+10.000%	47.19	0.00	42.90	47.19	47.19	47.19	38	17.93	收藏	股吧
sz002569	步森股份	　38.95	+3.54	+9.997%	38.95	0.00	35.41	38.95	38.95	38.95	47,039	18,321.53	收藏	股吧
sh600977	中国电影	　30.26	+2.75	+9.996%	30.26	0.00	27.51	30.26	30.26	30.26	24,138	7,304.22	收藏	股吧
sz300525	博思软件	　102.89	+9.35	+9.996%	102.89	0.00	93.54	102.89	102.89	102.89	947	974.32	收藏	股吧
sz300529	健帆生物	　59.09	+5.37	+9.996%	59.09	0.00	53.72	59.09	59.09	59.09	599	353.95	收藏	股吧
sh603515	欧普照明	　23.66	+2.15	+9.995%	23.66	0.00	21.51	23.66	23.66	23.66	38	8.99	收藏	股吧
sz002712	思美传媒	　40.61	+3.69	+9.995%	40.61	0.00	36.92	37.59	40.61	37.08	159,355	62,180.24	收藏	股吧
sz300533	冰川网络	　64.50	+5.86	+9.993%	64.50	0.00	58.64	64.50	64.50	64.50	29	18.70	收藏	股吧
sz002611	东方精工	　14.42	+1.31	+9.992%	14.42	0.00	13.11	14.42	14.42	14.42	7,803	1,125.21	收藏	股吧
sz002806	华锋股份	　54.60	+4.96	+9.992%	54.60	0.00	49.64	54.60	54.60	54.60	627	342.52	收藏	股吧
sh600380	健康元	　10.79	+0.98	+9.990%	10.79	0.00	9.81	10.02	10.79	10.02	1,320,784	140,534.15	收藏	股吧
sh603986	兆易创新	　40.52	+3.68	+9.989%	40.52	0.00	36.84	40.52	40.52	40.52	29	11.75	收藏	股吧
sz002212	南洋股份	　16.52	+1.50	+9.987%	16.52	0.00	15.02	16.52	16.52	16.52	20,943	3,459.86	收藏	股吧
sz000935	四川双马	　7.71	+0.70	+9.986%	7.71	0.00	7.01	7.71	7.71	7.71	5,559	428.63	收藏	股吧
sz002208	合肥城建	　21.15	+1.92	+9.984%	21.15	0.00	19.23	19.10	21.15	19.05	373,753	76,693.04	收藏	股吧
sh600936	广西广电	　11.13	+1.01	+9.980%	11.13	0.00	10.12	11.13	11.13	11.13	1,707	190.01	收藏	股吧
sz000595	宝塔实业	　11.02	+1.00	+9.980%	11.02	0.00	10.02	11.02	11.02	11.02	67,928	7,485.64	收藏	股吧
sz002328	新朋股份	　10.91	+0.99	+9.980%	10.91	0.00	9.92	9.96	10.91	9.91	306,377	32,508.83	收藏	股吧
sz002046	轴研科技	　11.36	+1.03	+9.971%	11.36	0.00	10.33	11.36	11.36	11.36	3,296	374.39	收藏	股吧
sh601216	君正集团	　4.64	+0.42	+9.953%	4.64	0.00	4.22	4.64	4.64	4.64	439,497	20,392.68	收藏	股吧
sh600187	国中水务	　6.71	+0.58	+9.462%	6.72	6.74	6.13	6.74	6.74	6.69	4,665,235	314,404.49	收藏	股吧
sh603726	朗迪集团	　55.21	+4.49	+8.853%	55.30	55.32	50.72	50.82	55.70	50.68	68,260	36,653.69	收藏	股吧
sh600895	张江高科	　21.76	+1.75	+8.746%	21.73	21.76	20.01	22.00	22.01	21.19	1,305,815	285,018.03	收藏	股吧
sh600178	东安动力	　11.49	+0.78	+7.283%	11.48	11.49	10.71	11.40	11.78	11.40	428,803	50,210.49	收藏	股吧
sz300331	苏大维格	　32.80	+2.20	+7.190%	32.80	32.82	30.60	31.99	33.66	31.05	485,355	159,756.73	收藏	股吧
sz002694	顾地科技	　23.91	+1.52	+6.789%	23.91	23.92	22.39	22.36	24.45	22.02	82,900	19,412.35	收藏	股吧
sh600986	科达股份	　16.54	+1.04	+6.710%	16.50	16.53	15.50	15.42	16.66	15.42	182,399	29,572.51	收藏	股吧
sz000628	高新发展	　13.84	+0.87	+6.708%	13.84	13.85	12.97	12.98	14.27	12.87	179,191	24,568.02	收藏	股吧
sz300523	辰安科技	　186.90	+11.38	+6.484%	186.90	186.91	175.52	193.07	193.07	182.00	122,393	229,319.19	收藏	股吧
sz002479	富春环保	　11.89	+0.68	+6.066%	11.89	11.90	11.21	11.40	11.96	11.30	250,496	29,261.92	收藏	股吧
