sh603887	N城地	　17.47	+5.34	+44.023%	17.47	0.00	12.13	14.56	17.47	14.56	89	15.58	收藏	股吧
sh600005	武钢股份	　3.04	+0.28	+10.145%	3.04	0.00	2.76	3.04	3.04	3.04	38,846	1,180.92	收藏	股吧
sh601128	常熟银行	　6.78	+0.62	+10.065%	6.78	0.00	6.16	6.78	6.78	6.78	557	37.76	收藏	股吧
sh601216	君正集团	　5.37	+0.49	+10.041%	5.37	0.00	4.88	4.99	5.37	4.97	1,977,552	103,730.60	收藏	股吧
sh600410	华胜天成	　13.27	+1.21	+10.033%	13.27	0.00	12.06	12.24	13.27	12.24	631,681	81,162.24	收藏	股吧
sh600908	无锡银行	　11.41	+1.04	+10.029%	11.41	0.00	10.37	11.41	11.41	11.41	11,296	1,288.88	收藏	股吧
sh603601	再升科技	　19.20	+1.75	+10.029%	19.20	0.00	17.45	17.68	19.20	17.52	66,584	12,231.28	收藏	股吧
sz000518	四环生物	　8.56	+0.78	+10.026%	8.56	0.00	7.78	8.02	8.56	7.99	366,345	30,784.77	收藏	股吧
sh601137	博威合金	　13.06	+1.19	+10.025%	13.06	0.00	11.87	12.07	13.06	12.07	74,683	9,581.90	收藏	股吧
sz300210	森远股份	　22.51	+2.05	+10.020%	22.51	0.00	20.46	20.71	22.51	20.71	100,958	22,017.82	收藏	股吧
sh600571	信雅达	　22.84	+2.08	+10.019%	22.84	0.00	20.76	20.85	22.84	20.85	205,393	45,914.55	收藏	股吧
sh600976	健民集团	　31.08	+2.83	+10.018%	31.08	0.00	28.25	30.00	31.08	30.00	76,484	23,353.79	收藏	股吧
sz002161	远 望 谷	　13.40	+1.22	+10.016%	13.40	0.00	12.18	13.27	13.40	13.05	118,674	15,834.73	收藏	股吧
sh600620	天宸股份	　16.48	+1.50	+10.013%	16.48	0.00	14.98	14.93	16.48	14.93	432,750	69,393.52	收藏	股吧
sh603999	读者传媒	　36.16	+3.29	+10.009%	36.16	0.00	32.87	33.04	36.16	32.74	128,627	44,696.57	收藏	股吧
sz002722	金轮股份	　51.66	+4.70	+10.009%	51.66	0.00	46.96	47.99	51.66	47.65	100,629	50,509.08	收藏	股吧
sz300451	创业软件	　38.69	+3.52	+10.009%	38.69	0.00	35.17	35.50	38.69	35.50	35,373	13,168.81	收藏	股吧
sz300308	中际装备	　14.95	+1.36	+10.007%	14.95	0.00	13.59	14.95	14.95	14.95	848	126.75	收藏	股吧
sz300536	农尚环境	　30.78	+2.80	+10.007%	30.78	0.00	27.98	30.78	30.78	30.78	230	70.70	收藏	股吧
sz300541	先进数通	　50.02	+4.55	+10.007%	50.02	0.00	45.47	50.02	50.02	50.02	2,534	1,267.63	收藏	股吧
sz002212	南洋股份	　17.15	+1.56	+10.006%	17.15	0.00	15.59	15.95	17.15	15.62	388,759	65,134.60	收藏	股吧
sz300458	全志科技	　88.06	+8.01	+10.006%	88.06	0.00	80.05	82.48	88.06	81.58	49,068	42,192.70	收藏	股吧
sz300547	川环科技	　34.96	+3.18	+10.006%	34.96	0.00	31.78	34.96	34.96	34.96	15	5.24	收藏	股吧
sz300038	梅泰诺	　45.52	+4.14	+10.005%	45.52	0.00	41.38	41.98	45.52	41.90	122,204	54,158.26	收藏	股吧
sz300369	绿盟科技	　41.23	+3.75	+10.005%	41.23	0.00	37.48	38.28	41.23	38.28	112,861	45,689.53	收藏	股吧
sh600019	宝钢股份	　5.39	+0.49	+10.000%	5.39	0.00	4.90	5.39	5.39	5.39	74,984	4,041.62	收藏	股吧
sz000953	河池化工	　16.50	+1.50	+10.000%	16.50	0.00	15.00	14.70	16.50	14.32	479,573	72,188.40	收藏	股吧
sz002439	启明星辰	　22.55	+2.05	+10.000%	22.55	0.00	20.50	20.87	22.55	20.87	219,727	48,739.57	收藏	股吧
sz002515	金字火腿	　18.15	+1.65	+10.000%	18.15	0.00	16.50	16.54	18.15	16.54	436,106	76,944.71	收藏	股吧
sz300184	力源信息	　18.04	+1.64	+10.000%	18.04	0.00	16.40	16.58	18.04	16.48	250,809	43,468.66	收藏	股吧
sz300202	聚龙股份	　27.39	+2.49	+10.000%	27.39	0.00	24.90	25.39	27.39	24.90	131,018	35,122.38	收藏	股吧
sz300522	世名科技	　128.70	+11.70	+10.000%	128.70	0.00	117.00	119.00	128.70	117.82	47,255	58,055.04	收藏	股吧
sz300525	博思软件	　105.71	+9.61	+10.000%	105.71	0.00	96.10	97.20	105.71	96.16	18,983	19,319.57	收藏	股吧
sz300546	雄帝科技	　39.16	+3.56	+10.000%	39.16	0.00	35.60	39.16	39.16	39.16	1	0.39	收藏	股吧
sz300533	冰川网络	　160.72	+14.61	+9.999%	160.72	0.00	146.11	147.85	160.72	147.85	39,024	60,744.37	收藏	股吧
sz300543	朗科智能	　123.76	+11.25	+9.999%	123.76	0.00	112.51	113.40	123.76	113.01	46,628	55,192.86	收藏	股吧
sz002812	创新股份	　70.42	+6.40	+9.997%	70.42	0.00	64.02	65.00	70.42	64.00	108,564	73,451.87	收藏	股吧
sz300423	鲁亿通	　34.55	+3.14	+9.997%	34.55	0.00	31.41	33.50	34.55	32.99	30,336	10,289.77	收藏	股吧
sz300491	通合科技	　79.22	+7.20	+9.997%	79.22	0.00	72.02	72.98	79.22	72.40	14,347	11,051.76	收藏	股吧
